Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
14,Diffused UV data in frame (Total_photons):,      ,1100A,12960.913354999997,1500A,8844.667889,2300A,6466.041351999998
15,Empty frame,,,,,,,,[343.52877742  -5.73164301]
15,Celestial_data for frame:,      ,Sun,"(np.float64(21.87496094974712), np.float64(-12.739643707140319))",moon,"(np.float64(11.445491615381586), np.float64(3.1550438546277317))"
15,Diffused UV data in frame (Total_photons):,      ,1100A,23505.948736000006,1500A,19285.346928999992,2300A,15038.596285
16,Empty frame,,,,,,,,[344.14912234  -5.72570999]
16,Celestial_data for frame:,      ,Sun,"(np.float64(21.87496846827436), np.float64(-12.739604129657433))",moon,"(np.float64(11.445574393196008), np.float64(3.154370978210081))"
16,Diffused UV data in frame (Total_photons):,      ,1100A,19374.178765000004,1500A,15119.655705999998,2300A,12251.072216
17,113723,345.47616887,-5.96620894,7.85,7.04,0.02,G5          ,4.300000000000001,"[[344.76945483  -5.71907935]
 [345.76938051  -5.70688847]
 [345.77547595  -6.20685131]
 [344.77555026  -6.21904219]]"
17,113791,345.65743986,-5.72905668,8.68,4.17,0.031,F2          ,2.6400000000000006,"[[344.76945483  -5.71907935]
 [345.76938051  -5.70688847]
 [345.77547595  -6.20685131]
 [344.77555026  -6.21904219]]"
17,Celestial_data for frame:,      ,Sun,"(np.float64(21.874975986798926), np.float64(-12.739564552128245))",moon,"(np.float64(11.44565717075425), np.float64(3.1536981014899457))"
17,Diffused UV data in frame (Total_photons):,      ,1100A,18120.267184999997,1500A,14183.140276,2300A,10342.25288
18,113723,345.47616887,-5.96620894,7.85,7.04,0.02,G5          ,4.300000000000001,"[[345.38977584  -5.71175184]
 [346.38968719  -5.69843655]
 [346.39634483  -6.19839222]
 [345.39643348  -6.21170751]]"
18,113791,345.65743986,-5.72905668,8.68,4.17,0.031,F2          ,2.6400000000000006,"[[345.38977584  -5.71175184]
 [346.38968719  -5.69843655]
 [346.39634483  -6.19839222]
 [345.39643348  -6.21170751]]"
18,113926,346.05568477,-5.77353014,8.38,12.21,0.024,F5          ,3.2399999999999984,"[[345.38977584  -5.71175184]
 [346.38968719  -5.69843655]
 [346.39634483  -6.19839222]
 [345.39643348  -6.21170751]]"
18,Celestial_data for frame:,      ,Sun,"(np.float64(21.874983505320806), np.float64(-12.739524974552753))",moon,"(np.float64(11.44573994805684), np.float64(3.153025224466784))"
18,Diffused UV data in frame (Total_photons):,      ,1100A,17974.1602,1500A,15403.052569999998,2300A,11447.021700000001
19,113926,346.05568477,-5.77353014,8.38,12.21,0.024,F5          ,3.2399999999999984,"[[346.01008634  -5.70372829]
 [347.00998211  -5.68929018]
 [347.01720116  -6.18923806]
 [346.0173054   -6.20367617]]"
19,114218,346.96120084,-5.69763653,8.52,2.06,0.029,K0          ,2.960000000000001,"[[346.01008634  -5.70372829]
 [347.00998211  -5.68929018]
 [347.01720116  -6.18923806]
 [346.0173054   -6.20367617]]"
19,Celestial_data for frame:,      ,Sun,"(np.float64(21.874991023840018), np.float64(-12.739485396930956))",moon,"(np.float64(11.445822725103405), np.float64(3.1523523471420787))"
19,Diffused UV data in frame (Total_photons):,      ,1100A,21223.982380000005,1500A,17788.0525,2300A,15114.578105000004
20,114218,346.96120084,-5.69763653,8.52,2.06,0.029,K0          ,2.960000000000001,"[[346.63037982  -5.69500972]
 [347.63025877  -5.67945052]
 [347.63803837  -6.17939   ]
 [346.63815942  -6.19494919]]"
20,Celestial_data for frame:,      ,Sun,"(np.float64(21.874998542356543), np.float64(-12.739445819262857))",moon,"(np.float64(11.445905501894163), np.float64(3.1516794695152623))"
20,Diffused UV data in frame (Total_photons):,      ,1100A,20464.50349,1500A,16279.430484999999,2300A,11326.972724999998
21,114445,347.66506587,-5.9602773,6.96,1.36,0.009,B8          ,6.08,"[[347.25065724  -5.68559713]
 [348.25051815  -5.6689187 ]
 [348.25885736  -6.16884915]
 [347.25899646  -6.18552758]]"
21,Celestial_data for frame:,      ,Sun,"(np.float64(21.875006060870398), np.float64(-12.739406241548455))",moon,"(np.float64(11.445988278429208), np.float64(3.1510065915866794))"
21,Diffused UV data in frame (Total_photons):,      ,1100A,14561.752983999997,1500A,10071.749146999997,2300A,7498.357718999998
22,114724,348.58055219,-6.0485268,4.22,14.68,0.037,M2III       ,11.56,"[[347.87091961  -5.67549158]
 [348.87076125  -5.65769591]
 [348.87965909  -6.15761674]
 [347.87981744  -6.1754124 ]]"
22,114795,348.80399756,-6.12184355,7.48,3.34,0.014,G5          ,5.039999999999999,"[[347.87091961  -5.67549158]
 [348.87076125  -5.65769591]
 [348.87965909  -6.15761674]
 [347.87981744  -6.1754124 ]]"
22,Celestial_data for frame:,      ,Sun,"(np.float64(21.87501357938157), np.float64(-12.73936666378775))",moon,"(np.float64(11.44607105470894), np.float64(3.15033371335623))"
22,Diffused UV data in frame (Total_photons):,      ,1100A,13413.019160000003,1500A,12235.117526000005,2300A,8268.062579000001
23,114724,348.58055219,-6.0485268,4.22,14.68,0.037,M2III       ,11.56,"[[348.49116042  -5.66469436]
 [349.4909816   -5.64578359]
 [349.50043699  -6.14569418]
 [348.50061581  -6.16460495]]"
23,114795,348.80399756,-6.12184355,7.48,3.34,0.014,G5          ,5.039999999999999,"[[348.49116042  -5.66469436]
 [349.4909816   -5.64578359]
 [349.50043699  -6.14569418]
 [348.50061581  -6.16460495]]"
23,Celestial_data for frame:,      ,Sun,"(np.float64(21.875021097890063), np.float64(-12.73932708598074))",moon,"(np.float64(11.446153830732289), np.float64(3.149660834824553))"
23,Diffused UV data in frame (Total_photons):,      ,1100A,13652.166879999993,1500A,11536.866077,2300A,8962.733291999999
24,Empty frame,,,,,,,,[349.1113807   -5.65320671]
24,Celestial_data for frame:,      ,Sun,"(np.float64(21.87502861639588), np.float64(-12.73928750812743))",moon,"(np.float64(11.446236606500303), np.float64(3.1489879559914793))"
