Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
1,74623,228.71088802,-5.50257175,6.28,3.58,0.004,K2          ,1.4399999999999995,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74649,228.79736045,4.93935226,5.32,6.98,0.005,K0III       ,3.3599999999999994,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74689,228.9547494,0.37210753,5.62,20.2,0.001,A4V         ,2.76,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74695,228.97321305,6.46488638,6.47,2.69,0.01,K0          ,1.0600000000000005,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74702,228.99609545,0.79669425,6.92,64.19,0.002,K0          ,0.16000000000000014,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74749,229.14911128,9.7130066,6.74,9.35,0.002,A2          ,0.5199999999999996,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74895,229.59424244,0.93945188,6.5,7.55,0.495,K0          ,1.0,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74901,229.60888718,-0.46123725,5.88,3.33,0.01,K5III       ,2.24,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74948,229.73143435,-1.5924433,6.93,19.13,0.007,F8          ,0.14000000000000057,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74975,229.82741626,1.76665611,5.04,40.46,0.0,F8III-IV    ,3.92,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,74982,229.84082901,-9.14639765,6.95,5.37,0.018,M4III       ,0.09999999999999964,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,75084,230.15202133,-5.11974365,6.6,6.59,0.009,K0          ,0.8000000000000007,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,75101,230.196555,-2.412917,6.34,27.08,0.002,K0V         ,1.3200000000000003,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,75119,230.25842001,0.71558981,5.35,13.38,0.002,K3III       ,3.3000000000000007,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,75127,230.28183604,-5.82482695,5.54,12.14,0.006,K1III       ,2.92,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,75342,230.93194231,-1.02231511,6.11,18.2,0.004,F0V         ,1.7799999999999994,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,75379,231.04970889,-10.32189476,4.92,30.9,0.003,F5IV        ,4.16,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
1,75718,232.0398687,-9.34718625,6.89,50.34,0.015,K2V         ,0.22000000000000064,"[[ 2.33316858e+02 -1.22823367e+01]
 [ 2.17637888e+02  1.34180636e-01]
 [ 2.26950276e+02  1.18934081e+01]
 [ 2.42629246e+02 -5.23109283e-01]]"
