Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
41,36738,113.35036315,-28.71046256,8.77,2.05,-0.105,B8II/III    ,0.46000000000000085,"[113.2710684509048, -29.448489936785165, 113.67106845090481, -27.448489936785165]"
41,36756,113.39301125,-27.97731831,8.42,0.92,0.331,O9.5Ib      ,1.1600000000000001,"[113.2710684509048, -29.448489936785165, 113.67106845090481, -27.448489936785165]"
41,36780,113.46826726,-28.56774711,6.77,7.46,0.308,A6:V+...    ,4.460000000000001,"[113.2710684509048, -29.448489936785165, 113.67106845090481, -27.448489936785165]"
42,37660,115.91296944,-25.50383857,6.56,0.2,0.065,A3III       ,4.880000000000001,"[115.81838426081892, -27.123966894089392, 116.21838426081892, -25.123966894089392]"
42,37733,116.08406166,-25.71387508,8.26,0.64,0.115,A1IV/V      ,1.4800000000000004,"[115.81838426081892, -27.123966894089392, 116.21838426081892, -25.123966894089392]"
43,38551,118.41065895,-23.3137246,6.95,2.52,-0.079,B6V         ,4.1,"[118.26493833928997, -24.75666680049404, 118.66493833928998, -22.75666680049404]"
43,38553,118.41701516,-23.18724053,7.22,4.92,-0.069,B8/B9V      ,3.5600000000000005,"[118.26493833928997, -24.75666680049404, 118.66493833928998, -22.75666680049404]"
44,39474,121.02096858,-21.3763987,7.82,1.85,0.056,A0IV        ,2.3599999999999994,"[120.62298326965825, -22.352469857532995, 121.02298326965825, -20.352469857532995]"
45,40235,123.27095477,-19.45710087,8.46,1.2,1.622,K5III       ,1.0799999999999983,"[122.90401615534671, -19.916661831978114, 123.30401615534672, -17.916661831978114]"
46,40996,125.49527755,-15.86378026,8.82,3.52,0.104,A1/A2V      ,0.35999999999999943,"[125.11881391823316, -17.454032267058412, 125.51881391823316, -15.454032267058412]"
47,41719,127.6051926,-13.4684703,7.33,1.99,0.055,A1/A2IV     ,3.34,"[127.27750749060162, -14.968945687805725, 127.67750749060163, -12.968945687805725]"
48,42348,129.50688389,-11.74373017,6.58,8.92,-0.044,A0          ,4.84,"[129.38965646748204, -12.465417131766264, 129.78965646748202, -10.465417131766264]"
48,42378,129.60784355,-10.82512539,8.23,9.68,0.274,A2          ,1.5399999999999991,"[129.38965646748204, -12.465417131766264, 129.78965646748202, -10.465417131766264]"
48,42421,129.75526995,-12.12028867,8.02,3.01,0.129,A2          ,1.9600000000000009,"[129.38965646748204, -12.465417131766264, 129.78965646748202, -10.465417131766264]"
49,43033,131.52699313,-8.96761791,8.85,4.18,1.039,G5          ,0.3000000000000007,"[131.46434036341412, -9.947169154255015, 131.8643403634141, -7.947169154255015]"
49,43089,131.64756731,-8.64089573,7.43,4.8,1.041,K0          ,3.1400000000000006,"[131.46434036341412, -9.947169154255015, 131.8643403634141, -7.947169154255015]"
49,43102,131.67278557,-8.46860069,8.78,4.18,1.061,K0          ,0.4400000000000013,"[131.46434036341412, -9.947169154255015, 131.8643403634141, -7.947169154255015]"
50,43726,133.5757901,-5.43453346,6.01,58.5,0.661,G3V         ,5.98,"[133.5102357997183, -7.417703330593549, 133.91023579971827, -5.417703330593549]"
51,44450,135.83802425,-4.44158124,7.46,8.19,0.106,A0          ,3.08,"[135.53571155204006, -4.880346984298221, 135.93571155204003, -2.880346984298221]"
52,45087,137.76974104,-1.54925125,8.22,4.99,0.543,F8          ,1.5599999999999987,"[137.54891323623087, -2.338308442455541, 137.94891323623085, -0.33830844245554115]"
53,45646,139.56979447,0.70989684,7.76,6.48,1.058,K0          ,2.4800000000000004,"[139.55785727274608, 0.20528254539135005, 139.95785727274605, 2.2052825453913503]"
53,45737,139.86830215,0.89736617,8.15,34.06,0.86,K0          ,1.6999999999999993,"[139.55785727274608, 0.20528254539135005, 139.95785727274605, 2.2052825453913503]"
54,,,,,,,,,"([141.57050816203932, 2.7473154611605324, 141.9705081620393, 4.747315461160532],)"
55,,,,,,,,,"([143.59487010927737, 5.284658649911119, 143.99487010927734, 7.284658649911119],)"
56,47656,145.75136852,8.80914372,8.55,3.48,0.379,A3          ,0.8999999999999986,"[145.63907882626333, 7.814118455492041, 146.0390788262633, 9.814118455492041]"
56,47722,145.93229481,7.95314839,7.97,13.97,0.705,G0          ,2.0600000000000005,"[145.63907882626333, 7.814118455492041, 146.0390788262633, 9.814118455492041]"
57,48312,147.73678513,10.88248493,8.3,5.09,0.13,A0          ,1.3999999999999986,"[147.7114791029991, 10.332378533658762, 148.11147910299908, 12.332378533658762]"
58,,,,,,,,,"([149.82071913104772, 12.835957114279871, 150.2207191310477, 14.835957114279871],)"
59,,,,,,,,,"([151.9758351031326, 15.321148550174886, 152.37583510313257, 17.321148550174886],)"
60,,,,,,,,,"([154.1863453427462, 17.783972355955772, 154.58634534274617, 19.783972355955772],)"
61,51155,156.74353928,20.43372892,7.93,2.97,0.951,G5          ,2.1400000000000006,"[156.46232431563232, 20.220096723790704, 156.8623243156323, 22.220096723790704]"
61,51187,156.84071084,21.61545208,8.07,1.79,1.395,K2          ,1.8599999999999994,"[156.46232431563232, 20.220096723790704, 156.8623243156323, 22.220096723790704]"
62,,,,,,,,,"([158.81448786885144, 22.624775610929845, 159.21448786885142, 24.624775610929845],)"
63,52667,161.53833485,25.76104281,8.05,21.19,0.67,G5V         ,1.8999999999999986,"[161.2542565301361, 24.992766704334944, 161.65425653013608, 26.992766704334944]"
63,52681,161.57522882,25.61298369,8.18,4.21,1.014,K0III       ,1.6400000000000006,"[161.2542565301361, 24.992766704334944, 161.65425653013608, 26.992766704334944]"
64,53471,164.06946782,27.73991795,8.45,26.7,0.73,K0          ,1.1000000000000014,"[163.79381118128248, 27.318253280508266, 164.19381118128246, 29.318253280508266]"
65,54240,166.45709412,29.998441,7.59,3.87,1.053,K0          ,2.8200000000000003,"[166.44609819344964, 29.594739591186784, 166.84609819344962, 31.594739591186784]"
66,55154,169.3801441,32.88112696,8.91,4.22,0.953,G5          ,0.17999999999999972,"[169.2248069610152, 31.81495902479829, 169.62480696101517, 33.81495902479829]"
66,55219,169.61981385,33.09423881,3.49,7.74,1.4,K3III SB    ,11.02,"[169.2248069610152, 31.81495902479829, 169.62480696101517, 33.81495902479829]"
67,,,,,,,,,"([172.1442660670558, 33.970767272220776, 172.5442660670558, 35.970767272220776],)"
68,,,,,,,,,"([175.21925502759362, 36.05304703320187, 175.6192550275936, 38.05304703320187],)"
69,58014,178.49037084,39.60973764,8.1,3.23,0.985,K0IV        ,1.8000000000000007,"[178.46465813500626, 38.05160429559651, 178.86465813500624, 40.05160429559651]"
69,58129,178.84391232,38.75696671,7.03,4.73,0.99,K0IIICN...  ,3.9399999999999995,"[178.46465813500626, 38.05160429559651, 178.86465813500624, 40.05160429559651]"
70,59161,181.99129313,39.98870436,8.98,8.19,0.476,F8          ,0.03999999999999915,"[181.89496543219474, 39.95510285893324, 182.29496543219472, 41.95510285893324]"
71,60411,185.80018067,42.72011949,8.87,11.27,0.548,G0          ,0.26000000000000156,"[185.52353940857913, 41.75102664257387, 185.9235394085791, 43.75102664257387]"
71,60413,185.80595174,42.89953712,8.79,10.2,0.435,F5          ,0.4200000000000017,"[185.52353940857913, 41.75102664257387, 185.9235394085791, 43.75102664257387]"
72,61612,189.38945684,45.25372102,8.03,9.43,0.329,F2V         ,1.9400000000000013,"[189.3616427118106, 43.425711664188604, 189.76164271181057, 45.425711664188604]"
72,61661,189.60426031,44.1038716,8.87,1.99,0.98,G9III       ,0.26000000000000156,"[189.3616427118106, 43.425711664188604, 189.76164271181057, 45.425711664188604]"
72,61674,189.63697709,45.21717883,7.21,15.9,0.409,F2          ,3.58,"[189.3616427118106, 43.425711664188604, 189.76164271181057, 45.425711664188604]"
73,62992,193.61702672,46.7778186,7.47,3.6,1.045,K0III       ,3.0600000000000005,"[193.4171662860247, 44.96445275598415, 193.81716628602467, 46.96445275598415]"
74,64360,197.87461671,46.9521749,8.53,1.49,1.284,K5          ,0.9400000000000013,"[197.6931464347676, 46.35174538038327, 198.0931464347676, 48.35174538038327]"
75,65768,202.25698722,47.84712734,7.06,4.75,0.407,F5          ,3.880000000000001,"[202.18612457050793, 47.571668961453135, 202.5861245705079, 49.571668961453135]"
76,67321,206.98220187,50.23941788,7.57,6.87,0.225,A5          ,2.8599999999999994,"[206.88458322358235, 48.608444462268785, 207.28458322358233, 50.608444462268785]"
77,69068,212.07231683,49.4580206,5.26,5.86,1.637,M2III       ,7.48,"[211.7676921275555, 49.44714551398094, 212.16769212755548, 51.44714551398094]"
78,,,,,,,,,"([216.8047917969371, 50.07454306943429, 217.2047917969371, 52.07454306943429],)"
79,,,,,,,,,"([221.9558910480878, 50.47998687985421, 222.35589104808778, 52.47998687985421],)"
80,74151,227.26982547,51.03230947,8.2,3.38,1.125,K0          ,1.6000000000000014,"[227.17341650763603, 50.6562143968299, 227.573416507636, 52.6562143968299]"
80,74197,227.422979,51.68193954,8.61,4.81,0.223,A2          ,0.7800000000000011,"[227.17341650763603, 50.6562143968299, 227.573416507636, 52.6562143968299]"
80,74205,227.46177316,52.41091643,8.35,0.81,1.23,K0          ,1.3000000000000007,"[227.17341650763603, 50.6562143968299, 227.573416507636, 52.6562143968299]"
81,,,,,,,,,"([232.4050797105163, 50.599950365136, 232.80507971051628, 52.599950365136],)"
82,77591,237.62012875,51.7714234,8.34,3.05,0.975,K0          ,1.3200000000000003,"[237.5975665334517, 50.312193059628875, 237.99756653345167, 52.312193059628875]"
82,77659,237.81488549,50.836081,8.65,6.07,0.18,A0          ,0.6999999999999993,"[237.5975665334517, 50.312193059628875, 237.99756653345167, 52.312193059628875]"
82,77695,237.94820091,51.58713799,8.91,4.54,0.357,F2          ,0.17999999999999972,"[237.5975665334517, 50.312193059628875, 237.99756653345167, 52.312193059628875]"
83,79351,242.92712734,49.96305574,8.43,1.39,0.953,K0          ,1.1400000000000006,"[242.70040462678267, 49.79812398922456, 243.10040462678265, 51.79812398922456]"
84,,,,,,,,,"([247.6693084293011, 49.06666516721552, 248.0693084293011, 51.06666516721552],)"
85,82437,252.71315357,48.34381519,7.77,0.58,1.342,K0          ,2.460000000000001,"[252.46856754121623, 48.1297644185436, 252.8685675412162, 50.1297644185436]"
86,83887,257.18247717,47.63915395,8.54,2.37,0.206,A3          ,0.9200000000000017,"[257.0721811808306, 47.00153783874509, 257.4721811808306, 49.00153783874509]"
87,85323,261.54144071,46.85853797,8.37,1.76,1.021,K0          ,1.2600000000000016,"[261.4638520887398, 45.69739091589033, 261.8638520887398, 47.69739091589033]"
87,85343,261.59511215,47.41564492,8.02,2.92,0.984,K0          ,1.9600000000000009,"[261.4638520887398, 45.69739091589033, 261.8638520887398, 47.69739091589033]"
87,85400,261.7648634,46.27172163,8.62,11.41,0.637,G0          ,0.7600000000000016,"[261.4638520887398, 45.69739091589033, 261.8638520887398, 47.69739091589033]"
88,86791,266.01796114,45.03466307,6.75,6.09,-0.029,B9          ,4.5,"[265.63605611083057, 44.2332344463601, 266.03605611083054, 46.2332344463601]"
89,88103,269.90368289,43.23519329,6.71,10.34,1.106,K0          ,4.58,"[269.5886193471492, 42.62483857400116, 269.98861934714915, 44.62483857400116]"
90,89336,273.42438511,42.87939359,8.12,3.92,0.284,F0          ,1.7600000000000016,"[273.32707613969853, 40.88736163267255, 273.7270761396985, 42.88736163267255]"
91,90525,277.07844961,39.99680887,8.64,3.2,0.901,K0          ,0.7199999999999989,"[276.86109506129577, 39.03503242548999, 277.26109506129575, 41.03503242548999]"
92,,,,,,,,,"([280.2030724951887, 37.08098326124233, 280.60307249518866, 39.08098326124233],)"
93,92728,283.43149392,36.97172755,5.58,3.02,-0.138,B2.5V       ,6.84,"[283.3670179632223, 35.037174620546224, 283.76701796322226, 37.037174620546224]"
93,92737,283.46853072,35.77272942,7.39,2.51,1.556,K5          ,3.2200000000000006,"[283.3670179632223, 35.037174620546224, 283.76701796322226, 37.037174620546224]"
93,92751,283.50956631,36.85570834,8.73,2.12,1.025,K0III       ,0.5399999999999991,"[283.3670179632223, 35.037174620546224, 283.76701796322226, 37.037174620546224]"
93,92764,283.54882153,36.91439564,8.64,3.39,0.088,A0          ,0.7199999999999989,"[283.3670179632223, 35.037174620546224, 283.76701796322226, 37.037174620546224]"
93,92769,283.55653432,36.7334573,7.61,3.21,-0.109,B9          ,2.7799999999999994,"[283.3670179632223, 35.037174620546224, 283.76701796322226, 37.037174620546224]"
93,92791,283.62620294,36.89860518,4.22,3.63,1.575,M4IIvar     ,9.56,"[283.3670179632223, 35.037174620546224, 283.76701796322226, 37.037174620546224]"
