Frame Number,hip,ra,dec,mag,parallax,B_V,Spectral_type,size,Frame Boundaries
64,19867,63.90785542,0.0039072,7.91,9.42,0.324,A5          ,2.1799999999999997,"[63.86695037517032, -0.4868452787333446, 64.06695037517032, 0.5131547212666554]"
64,19892,64.00593315,0.45395118,7.16,6.14,0.086,A0          ,3.6799999999999997,"[63.86695037517032, -0.4868452787333446, 64.06695037517032, 0.5131547212666554]"
65,21208,68.23801709,-0.15080254,8.52,5.37,0.238,A2          ,0.9600000000000009,"[68.04543891140167, -0.48736005133728505, 68.24543891140166, 0.512639948662715]"
66,,,,,,,,,"([72.22392952594566, -0.4879370265874309, 72.42392952594565, 0.5120629734125691],)"
67,,,,,,,,,"([76.40242008403735, -0.4885738490422209, 76.60242008403733, 0.5114261509577791],)"
68,25128,80.67964294,0.13924191,8.34,2.55,-0.005,B8V         ,1.3200000000000003,"[80.58090828398473, -0.48926786683625695, 80.78090828398472, 0.510732133163743]"
68,25135,80.68978121,0.20945812,8.77,3.21,1.053,K5V         ,0.46000000000000085,"[80.58090828398473, -0.48926786683625695, 80.78090828398472, 0.510732133163743]"
68,25164,80.75816317,0.439081,8.34,4.57,-0.084,B9          ,1.3200000000000003,"[80.58090828398473, -0.48926786683625695, 80.78090828398472, 0.510732133163743]"
69,,,,,,,,,"([84.7593923409892, -0.4900161426098087, 84.95939234098918, 0.5099838573901913],)"
70,,,,,,,,,"([88.9378699897687, -0.4908154655747776, 89.13786998976869, 0.5091845344252224],)"
71,29524,93.30043147,0.15885994,8.62,0.3,0.077,B8          ,0.7600000000000016,"[93.11633916817306, -0.49166236522633855, 93.31633916817304, 0.5083376347736615]"
72,30951,97.44434351,-0.09709983,8.54,1.68,0.082,A0          ,0.9200000000000017,"[97.29479786005102, -0.4925531262301694, 97.49479786005101, 0.5074468737698306]"
73,,,,,,,,,"([101.4732441059681, -0.49348380458523533, 101.6732441059681, 0.5065161954147647],)"
74,34005,105.84849243,0.34399433,7.32,5.84,-0.046,B9          ,3.3599999999999994,"[105.6516758455161, -0.4944502449263559, 105.85167584551608, 0.5055497550736441]"
75,,,,,,,,,"([109.83009159980594, -0.4954480991271889, 110.03009159980593, 0.5045519008728111],)"
76,,,,,,,,,"([114.0084894724331, -0.49647284553537857, 114.20848947243309, 0.5035271544646215],)"
77,,,,,,,,,"([118.18686783109311, -0.4975198095318179, 118.3868678310931, 0.5024801904681822],)"
78,39971,122.43655006,0.33609041,8.63,5.37,0.261,A0          ,0.7399999999999984,"[122.36522514811367, -0.49858418474227195, 122.56522514811365, 0.501415815257728]"
79,,,,,,,,,"([126.54355984043993, -0.49966105499258856, 126.74355984043991, 0.5003389450074115],)"
80,,,,,,,,,"([130.7218709495388, -0.5007454171301154, 130.9218709495388, 0.4992545828698846],)"
81,,,,,,,,,"([134.9001571395982, -0.5018322039561895, 135.1001571395982, 0.49816779604381045],)"
82,,,,,,,,,"([139.0784173761098, -0.5029163080302236, 139.2784173761098, 0.4970836919697765],)"
83,,,,,,,,,"([143.25665076321366, -0.5039926055864243, 143.45665076321364, 0.49600739441357566],)"
84,48252,147.55096163,-0.22845337,7.12,6.72,1.107,K0          ,3.76,"[147.4348565483998, -0.5050559807106754, 147.6348565483998, 0.4949440192893246]"
84,48255,147.55468196,0.10439941,7.4,12.6,0.483,F5          ,3.1999999999999993,"[147.4348565483998, -0.5050559807106754, 147.6348565483998, 0.4949440192893246]"
85,,,,,,,,,"([151.6130339583572, -0.5061013495794853, 151.81303395835718, 0.49389865042051473],)"
86,,,,,,,,,"([155.79118287453173, -0.507123684897299, 155.99118287453172, 0.49287631510270097],)"
87,,,,,,,,,"([159.96930282688663, -0.5081180397877262, 160.16930282688662, 0.4918819602122738],)"
