Wavelength,Spectrum
1375.0,8.366438273360156e+21
1385.0,8.365120132467854e+21
1395.0,6.60530986226953e+21
1405.0,7.134955445850553e+21
1415.0,7.494349921162321e+21
1425.0,7.61938145170297e+21
1435.0,7.827977298079179e+21
1442.0,8.105912374595383e+21
1447.0,7.960214932852053e+21
1455.0,7.785308485979146e+21
1465.0,7.185889885362374e+21
1475.0,7.345902869185863e+21
1485.0,7.254888544307774e+21
1495.0,7.194111501270536e+21
1505.0,6.565770785145786e+21
1512.0,5.83067434295467e+21
1517.0,6.0906672812645e+21
1525.0,6.371515869151422e+21
1535.0,5.516657747928643e+21
1545.0,5.550643091172249e+21
1555.0,5.378167091750249e+21
1565.0,5.737261342092375e+21
1575.0,6.125394478011285e+21
1585.0,6.179315891448854e+21
1595.0,6.187044164214317e+21
1605.0,6.29381513174194e+21
1615.0,6.25747785388002e+21
1625.0,6.097958091821666e+21
1635.0,6.50034676658069e+21
1645.0,6.490187717188375e+21
1655.0,6.315160440733672e+21
1665.0,6.642775881859164e+21
1672.0,6.381086628046685e+21
1677.0,6.736238297306758e+21
1685.0,6.698068983113856e+21
1695.0,6.335993960430165e+21
1705.0,6.115766317887211e+21
1715.0,5.797109058642823e+21
1725.0,5.760028914503357e+21
1735.0,6.078594718183064e+21
1745.0,5.899619853417324e+21
1755.0,6.048813107126705e+21
1765.0,5.823300054413483e+21
1775.0,5.63299381589147e+21
1785.0,5.749361176607896e+21
1795.0,6.019868627398517e+21
1805.0,6.092201921208522e+21
1815.0,5.405388549028277e+21
1825.0,5.710909220037008e+21
1835.0,5.492793037270103e+21
1845.0,5.038686001975473e+21
1855.0,4.97921746892566e+21
1865.0,5.099201160787049e+21
1875.0,5.517700725890106e+21
1885.0,4.904829310459578e+21
1895.0,4.575052243402884e+21
1905.0,5.03514890691153e+21
1915.0,4.7044490200145e+21
1925.0,4.5330883258242066e+21
1935.0,4.824530467745169e+21
1945.0,4.926927059181686e+21
1955.0,4.491266721817462e+21
1967.0,4.944107594946522e+21
1976.0,5.162850109556475e+21
1984.0,4.784905831740499e+21
1995.0,4.7080174110687767e+21
2005.0,4.926813270145778e+21
2015.0,4.827824261488041e+21
2025.0,5.070689769143533e+21
2035.0,4.615874854248729e+21
2045.0,4.745859557872062e+21
2055.0,4.620966939094901e+21
2065.0,4.6604243792894666e+21
2074.0,4.939028786539812e+21
2078.0,4.4322864039511484e+21
2085.0,4.708197661601999e+21
2095.0,4.448680509575257e+21
2105.0,4.604318698959646e+21
2115.0,4.635551380376405e+21
2125.0,4.711203738737486e+21
2135.0,4.6253986539458354e+21
2145.0,4.405692451832588e+21
2155.0,4.6278576403362375e+21
2165.0,4.6178537365516053e+21
2175.0,4.580059079123663e+21
2185.0,4.4353605902438823e+21
2195.0,4.5361417191697165e+21
2205.0,4.499655839569018e+21
2215.0,4.426244451650779e+21
2225.0,4.3154148167325566e+21
2235.0,4.337635941699525e+21
2245.0,4.372654992895668e+21
2255.0,4.2224912608512075e+21
2265.0,4.325697048165635e+21
2275.0,4.288705615648784e+21
2285.0,4.3205576511553604e+21
2295.0,4.071060478157431e+21
2305.0,4.19225759039739e+21
2315.0,4.0699507320180174e+21
2325.0,4.033148769873923e+21
2335.0,3.8910738059970835e+21
2345.0,3.904772844094396e+21
2355.0,3.945244673788885e+21
2365.0,3.8827574508566264e+21
2375.0,3.8586367249820895e+21
2385.0,3.8160821671986153e+21
2395.0,3.851765177119883e+21
2405.0,3.7492578391783223e+21
2415.0,3.76026745558563e+21
2425.0,3.788102112301948e+21
2435.0,3.6713392306651713e+21
2445.0,3.7157843782860826e+21
2455.0,3.7356379271130403e+21
2465.0,3.66203075476132e+21
2475.0,3.622124621373655e+21
2485.0,3.625762687193879e+21
2495.0,3.413225520443884e+21
2505.0,3.575763779798952e+21
2513.0,3.4028995773097543e+21
2518.0,3.5433825212952934e+21
2525.0,3.4638435521204453e+21
